Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
17.25,TraderOne,Tick,69,102,-33,33,146900,146900,2333,16767,16767,OK
17.5,TraderOne,Tick,69,102,-33,33,146900,146900,2333,16767,16767,OK
17.75,TraderOne,Tick,69,102,-33,33,146900,146900,2333,16767,16767,OK
18.016,TraderOne,Tick,72,102,-30,30,146600,146900,2289,17411,23411,OK
18.235,TraderOne,Tick,72,102,-30,30,146600,146900,2289,17411,23411,OK
18.547,TraderOne,Tick,72,102,-30,30,146600,147100,2289,17411,23411,OK
18.719,TraderOne,Tick,72,102,-30,30,146600,147100,2289,17411,23411,OK
19.047,TraderOne,Tick,72,102,-30,30,146600,147100,2289,17411,23411,OK
19.219,TraderOne,Tick,72,102,-30,30,146600,147100,2289,17411,23411,OK
19.469,TraderOne,Tick,72,102,-30,30,146600,147200,2289,17411,23411,OK
19.704,TraderOne,Tick,75,102,-27,27,146900,147200,2377,17923,23323,OK
20.047,TraderOne,Tick,78,102,-24,24,146900,147200,2465,18435,23235,OK
20.235,TraderOne,Tick,80,102,-22,22,146900,147200,2524,18976,23376,OK
20.516,TraderOne,Tick,82,102,-20,20,146900,147900,2583,19917,23917,OK
20.735,TraderOne,Tick,84,102,-18,18,147200,147900,2642,21458,25058,OK
21.016,TraderOne,Tick,84,102,-18,18,147500,147900,2642,21458,25058,OK
21.313,TraderOne,Tick,84,102,-18,18,147500,147900,2642,21458,25058,OK
21.516,TraderOne,Tick,86,102,-16,16,147700,147900,2701,21799,24999,OK
21.75,TraderOne,Tick,88,102,-14,14,147700,147900,2760,22140,24940,OK
22.032,TraderOne,Tick,89,102,-13,13,147700,148000,2790,22310,24910,OK
22.266,TraderOne,Tick,90,102,-12,12,147700,148000,2820,22480,24880,OK
22.5,TraderOne,Tick,91,102,-11,11,147700,148100,2850,22750,24950,OK
22.75,TraderOne,Tick,92,102,-10,10,147700,148200,2880,23020,25020,OK
22.985,TraderOne,Tick,93,102,-9,9,147700,148000,2910,23290,25090,OK
23.25,TraderOne,Tick,94,102,-8,8,147700,148000,2940,23360,24960,OK
23.532,TraderOne,Tick,94,102,-8,8,147700,147700,2940,23360,23360,OK
23.797,TraderOne,Tick,94,102,-8,8,147700,147700,2940,23360,23360,OK
24.0,TraderOne,Tick,95,102,-7,7,147600,147700,2925,23475,24175,OK
24.282,TraderOne,Tick,96,102,-6,6,147400,147700,2954,23746,24946,OK
24.532,TraderOne,Tick,97,102,-5,5,147400,147700,2983,24017,25017,OK
24.782,TraderOne,Tick,98,102,-4,4,147700,148100,3013,24187,24987,OK
24.954,TraderOne,Tick,99,102,-3,3,147700,148100,3043,24557,25157,OK
25.219,TraderOne,Tick,100,102,-2,2,147700,148200,3073,25027,25427,OK
25.532,TraderOne,Tick,101,102,-1,1,147700,147900,3103,25297,25497,OK
25.766,TraderOne,Tick,102,102,0,0,147700,147900,3133,25467,25467,OK
26.032,TraderOne,Tick,105,102,3,-3,147700,147900,3222,25978,25378,OK
26.25,TraderOne,Tick,117,102,15,-15,147700,147900,3576,28024,25024,OK
26.516,TraderOne,Tick,117,102,15,-15,147400,147900,3576,28024,25024,OK
26.766,TraderOne,Tick,127,102,25,-25,147700,147900,3871,29729,24729,OK
27.016,TraderOne,Tick,137,102,35,-35,147700,147900,4166,31434,24434,OK
27.266,TraderOne,Tick,147,102,45,-45,147400,147900,4461,33139,24139,OK
27.532,TraderOne,Tick,157,102,55,-55,147700,147900,4756,36844,25844,OK
27.735,TraderOne,Tick,167,102,65,-65,147700,147900,5051,38549,25549,OK
27.954,TraderOne,Tick,177,102,75,-75,147200,147800,5346,39254,24254,OK
28.235,TraderOne,Tick,187,102,85,-85,147700,147800,5641,37959,29459,OK
28.469,TraderOne,Tick,187,102,85,-85,147700,147800,5641,37959,29459,OK
28.75,TraderOne,Tick,187,102,85,-85,147700,147600,5641,37959,46459,OK
29.047,TraderOne,Tick,187,102,85,-85,147700,147600,5641,37959,46459,OK
29.219,TraderOne,Tick,187,102,85,-85,147700,147600,5641,37959,46459,OK
29.563,TraderOne,Tick,187,102,85,-85,147700,147600,5641,37959,46459,OK
29.782,TraderOne,Tick,187,102,85,-85,147700,147600,5641,37959,46459,OK
29.969,TraderOne,Tick,187,103,84,-84,147800,147600,5626,37974,54774,OK
30.266,TraderOne,Tick,188,103,85,-85,147200,147600,5611,37989,20989,OK
30.516,TraderOne,Tick,188,103,85,-85,147200,147600,5611,37989,20989,OK
30.766,TraderOne,Tick,188,103,85,-85,147200,147400,5611,37989,20989,OK
30.954,TraderOne,Tick,188,103,85,-85,147200,147400,5611,37989,20989,OK
31.313,TraderOne,Tick,188,103,85,-85,147200,147400,5611,37989,20989,OK
31.469,TraderOne,Tick,188,103,85,-85,147000,147400,5611,37989,20989,OK
31.766,TraderOne,Tick,188,103,85,-85,147000,147400,5611,37989,20989,OK
32.032,TraderOne,Tick,188,103,85,-85,147000,147400,5611,37989,20989,OK
32.25,TraderOne,Tick,188,103,85,-85,147000,147400,5611,37989,20989,OK
32.5,TraderOne,Tick,188,103,85,-85,147000,147400,5611,37989,20989,OK
32.735,TraderOne,Tick,188,103,85,-85,147000,147600,5611,37989,20989,OK
32.985,TraderOne,Tick,188,103,85,-85,147000,147600,5611,37989,20989,OK
33.204,TraderOne,Tick,188,103,85,-85,147000,147600,5611,37989,20989,OK
33.454,TraderOne,Tick,188,103,85,-85,147000,147600,5611,37989,20989,OK
33.782,TraderOne,Tick,188,103,85,-85,146900,147600,5611,37989,20989,OK
34.016,TraderOne,Tick,188,103,85,-85,146900,147600,5611,37989,20989,OK
34.219,TraderOne,Tick,188,103,85,-85,146900,147200,5611,37989,20989,OK
34.454,TraderOne,Tick,188,103,85,-85,146900,147200,5611,37989,20989,OK
34.766,TraderOne,Tick,188,103,85,-85,146900,147200,5611,37989,20989,OK
35.016,TraderOne,Tick,188,103,85,-85,146900,147200,5611,37989,20989,OK
35.25,TraderOne,Tick,188,103,85,-85,146900,147300,5611,37989,20989,OK
35.579,TraderOne,Tick,188,103,85,-85,147100,147000,5611,37989,46489,OK
35.704,TraderOne,Tick,188,104,84,-84,147200,147000,5640,37760,54560,OK
36.016,TraderOne,Tick,188,104,84,-84,147200,147000,5640,37760,54560,OK
36.25,TraderOne,Tick,188,104,84,-84,147200,147000,5640,37760,54560,OK
36.563,TraderOne,Tick,188,104,84,-84,147200,147000,5640,37760,54560,OK
36.813,TraderOne,Tick,188,104,84,-84,147200,147000,5640,37760,54560,OK
37.0,TraderOne,Tick,188,104,84,-84,147200,147000,5640,37760,54560,OK
37.204,TraderOne,Tick,188,104,84,-84,147200,147000,5640,37760,54560,OK
37.485,TraderOne,Tick,188,104,84,-84,147200,147300,5640,37760,29360,OK
37.75,TraderOne,Tick,188,104,84,-84,147200,147300,5640,37760,29360,OK
37.985,TraderOne,Tick,188,104,84,-84,147200,147300,5640,37760,29360,OK
38.204,TraderOne,Tick,188,104,84,-84,147200,147300,5640,37760,29360,OK
38.547,TraderOne,Tick,188,104,84,-84,147200,147300,5640,37760,29360,OK
38.797,TraderOne,Tick,188,104,84,-84,147200,147300,5640,37760,29360,OK
39.063,TraderOne,Tick,188,104,84,-84,147200,147300,5640,37760,29360,OK
39.266,TraderOne,Tick,189,104,85,-85,147500,147300,5625,37975,54975,OK
39.547,TraderOne,Tick,189,105,84,-84,147900,147300,5610,37890,54690,OK
39.75,TraderOne,Tick,189,105,84,-84,147900,147300,5610,37890,54690,OK
39.954,TraderOne,Tick,189,105,84,-84,147900,147300,5610,37890,54690,OK
40.266,TraderOne,Tick,189,105,84,-84,147900,147300,5610,37890,54690,OK
40.5,TraderOne,Tick,189,107,82,-82,148100,147300,5580,38120,54520,OK
40.766,TraderOne,Tick,189,107,82,-82,148100,147300,5580,38120,54520,OK
40.985,TraderOne,Tick,189,107,82,-82,148100,147300,5580,38120,54520,OK
41.25,TraderOne,Tick,189,107,82,-82,148100,147300,5580,38120,54520,OK
41.485,TraderOne,Tick,189,107,82,-82,148100,147300,5580,38120,54520,OK
41.782,TraderOne,Tick,189,107,82,-82,148100,147300,5580,38120,54520,OK
42.032,TraderOne,Tick,189,107,82,-82,148100,147200,5580,38120,54520,OK
42.297,TraderOne,Tick,189,109,80,-80,147700,147200,5551,38149,54149,OK
42.454,TraderOne,Tick,189,109,80,-80,147700,147200,5551,38149,54149,OK
42.719,TraderOne,Tick,189,109,80,-80,147700,147200,5551,38149,54149,OK
43.047,TraderOne,Tick,189,109,80,-80,147700,147200,5551,38149,54149,OK
43.219,TraderOne,Tick,189,109,80,-80,147700,147200,5551,38149,54149,OK
43.469,TraderOne,Tick,189,109,80,-80,147700,147200,5551,38149,54149,OK
43.766,TraderOne,Tick,189,109,80,-80,147700,147400,5551,38149,54149,OK
43.954,TraderOne,Tick,189,109,80,-80,147700,147400,5551,38149,54149,OK
44.235,TraderOne,Tick,189,109,80,-80,147700,147400,5551,38149,54149,OK
44.547,TraderOne,Tick,189,109,80,-80,147700,147400,5551,38149,54149,OK
44.75,TraderOne,Tick,189,111,78,-80,147400,147400,5522,332978,38178,OK
45.047,TraderOne,Tick,189,113,76,-76,147700,147400,5581,37319,52519,OK
45.235,TraderOne,Tick,189,115,74,-74,147400,147500,5640,37060,29660,OK
45.532,TraderOne,Tick,189,115,74,-74,147400,147500,5640,37060,29660,OK
45.766,TraderOne,Tick,189,118,71,-71,147400,147500,5728,36972,29872,OK
45.969,TraderOne,Tick,189,121,68,-68,147400,147500,5816,36884,30084,OK
46.25,TraderOne,Tick,189,124,65,-65,147400,147500,5904,36796,30296,OK
46.532,TraderOne,Tick,189,127,62,-62,147400,147500,5992,36708,30508,OK
46.797,TraderOne,Tick,189,127,62,-62,147400,147500,5992,36708,30508,OK
47.047,TraderOne,Tick,189,127,62,-62,147400,147500,5992,36708,30508,OK
47.204,TraderOne,Tick,189,127,62,-62,147400,147500,5992,36708,30508,OK
47.5,TraderOne,Tick,189,127,62,-62,147400,147500,5992,36708,30508,OK
47.766,TraderOne,Tick,189,131,58,-58,147700,147500,5933,36367,47967,OK
48.032,TraderOne,Tick,189,131,58,-58,147700,147500,5933,36367,47967,OK
48.297,TraderOne,Tick,189,131,58,-58,147100,147500,5933,36367,24767,OK
48.469,TraderOne,Tick,189,131,58,-58,147100,147500,5933,36367,24767,OK
48.75,TraderOne,Tick,189,131,58,-58,147100,147500,5933,36367,24767,OK
49.032,TraderOne,Tick,189,131,58,-58,147100,147500,5933,36367,24767,OK
49.282,TraderOne,Tick,189,131,58,-58,147100,147500,5933,36367,24767,OK
49.516,TraderOne,Tick,189,131,58,-58,147100,147500,5933,36367,24767,OK
49.719,TraderOne,Tick,189,131,58,-58,147100,147500,5933,36367,24767,OK
50.047,TraderOne,Tick,189,131,58,-58,147100,147500,5933,36367,24767,OK
50.297,TraderOne,Tick,189,131,58,-58,147100,147500,5933,36367,24767,OK
50.547,TraderOne,Tick,189,135,54,-54,148000,147500,5874,36026,46826,OK
50.719,TraderOne,Tick,189,135,54,-54,148000,147500,5874,36026,46826,OK
51.0,TraderOne,Tick,189,135,54,-54,148000,147500,5874,36026,46826,OK
51.25,TraderOne,Tick,189,135,54,-54,148000,147500,5874,36026,46826,OK
51.532,TraderOne,Tick,189,135,54,-54,148000,147500,5874,36026,46826,OK
51.766,TraderOne,Tick,189,135,54,-54,148000,147500,5874,36026,46826,OK
51.954,TraderOne,Tick,189,140,49,-49,147300,147300,6021,35879,35879,OK
52.219,TraderOne,Tick,189,140,49,-49,147300,147300,6021,35879,35879,OK
52.532,TraderOne,Tick,189,140,49,-49,147300,147300,6021,35879,35879,OK
52.766,TraderOne,Tick,189,140,49,-49,147300,147300,6021,35879,35879,OK
53.032,TraderOne,Tick,189,140,49,-49,147300,147300,6021,35879,35879,OK
53.282,TraderOne,Tick,189,140,49,-49,147300,147300,6021,35879,35879,OK
53.485,TraderOne,Tick,189,140,49,-49,147300,147300,6021,35879,35879,OK
53.782,TraderOne,Tick,189,140,49,-49,147300,147300,6021,35879,35879,OK
54.0,TraderOne,Tick,189,140,49,-49,147300,147300,6021,35879,35879,OK
54.297,TraderOne,Tick,189,145,44,-44,147900,147200,5947,35453,44253,OK
54.547,TraderOne,Tick,189,145,44,-44,147900,147200,5947,35453,44253,OK
54.813,TraderOne,Tick,189,145,44,-44,147900,147200,5947,35453,44253,OK
55.032,TraderOne,Tick,189,151,38,-38,147300,147200,6124,35276,39076,OK
55.297,TraderOne,Tick,189,157,32,-32,147300,147300,6301,35099,35099,OK
55.547,TraderOne,Tick,189,157,32,-32,147300,146900,6301,35099,41499,OK
55.75,TraderOne,Tick,190,164,26,-26,147000,146900,6492,35608,38208,OK
56.032,TraderOne,Tick,190,164,26,-26,147000,147100,6492,35608,33008,OK
56.266,TraderOne,Tick,190,164,26,-26,147000,147100,6492,35608,33008,OK
56.532,TraderOne,Tick,190,164,26,-26,147000,147100,6492,35608,33008,OK
56.782,TraderOne,Tick,190,164,26,-26,147000,147100,6492,35608,33008,OK
56.954,TraderOne,Tick,190,164,26,-26,147000,147100,6492,35608,33008,OK
57.25,TraderOne,Tick,190,171,19,-19,146900,147100,6698,35402,31602,OK
57.516,TraderOne,Tick,190,171,19,-19,146900,146800,6698,35402,37302,OK
57.704,TraderOne,Tick,190,179,11,-11,146900,146700,6933,36767,38967,OK
57.969,TraderOne,Tick,190,188,2,-2,146900,146600,7197,37403,37803,OK
58.219,TraderOne,Tick,190,197,-7,7,146900,146600,7461,38939,37539,OK
58.469,TraderOne,Tick,190,205,-15,15,146900,146700,7696,40304,37304,OK
58.719,TraderOne,Tick,190,215,-25,25,146900,146700,7990,41010,36010,OK
58.969,TraderOne,Tick,190,225,-35,35,146800,146700,8284,41916,38416,OK
59.266,TraderOne,Tick,190,235,-45,45,146800,146700,8578,42622,38122,OK
59.547,TraderOne,Tick,190,245,-55,55,146800,146500,8872,44328,33328,OK
59.704,TraderOne,Tick,190,255,-65,65,146800,146500,9166,46034,33034,OK
60.0,TraderOne,Tick,190,265,-75,75,146800,146500,9460,47740,32740,OK
60.282,TraderOne,Tick,190,275,-85,85,146800,146700,9754,48446,39946,OK
60.532,TraderOne,Tick,190,275,-85,85,146800,146700,9754,48446,39946,OK
60.719,TraderOne,Tick,190,275,-85,85,146800,146700,9754,48446,39946,OK
61.047,TraderOne,Tick,190,275,-85,85,146800,146500,9754,48446,31446,OK
61.266,TraderOne,Tick,190,275,-85,85,146800,146500,9754,48446,31446,OK
61.469,TraderOne,Tick,190,275,-85,85,146800,146500,9754,48446,31446,OK
61.813,TraderOne,Tick,190,275,-85,85,146800,146500,9754,48446,31446,OK
62.0,TraderOne,Tick,190,275,-85,85,146800,146500,9754,48446,31446,OK
62.266,TraderOne,Tick,190,275,-85,85,146800,146300,9754,48446,31446,OK
62.485,TraderOne,Tick,190,275,-85,85,146800,146300,9754,48446,31446,OK
62.75,TraderOne,Tick,190,275,-85,85,146700,146300,9754,48446,31446,OK
63.063,TraderOne,Tick,190,275,-85,85,146700,146300,9754,48446,31446,OK
63.266,TraderOne,Tick,190,275,-85,85,146700,146300,9754,48446,31446,OK
63.532,TraderOne,Tick,190,275,-85,85,146700,146300,9754,48446,31446,OK
63.782,TraderOne,Tick,190,275,-85,85,146700,146300,9754,48446,31446,OK
63.969,TraderOne,Tick,190,275,-85,85,146700,146300,9754,48446,31446,OK
64.204,TraderOne,Tick,190,275,-85,85,146700,146300,9754,48446,31446,OK
64.5,TraderOne,Tick,190,275,-85,85,146700,146300,9754,48446,31446,OK
64.797,TraderOne,Tick,190,275,-85,85,146700,146300,9754,48446,31446,OK
64.969,TraderOne,Tick,190,275,-85,85,146700,146300,9754,48446,31446,OK
65.25,TraderOne,Tick,190,275,-85,85,146700,146900,9754,48446,65446,OK
65.454,TraderOne,Tick,190,275,-85,85,146700,146900,9754,48446,65446,OK
65.766,TraderOne,Tick,190,275,-85,85,146700,146900,9754,48446,65446,OK
66.032,TraderOne,Tick,199,275,-76,76,146600,146900,9622,48578,63778,OK
66.282,TraderOne,Tick,199,275,-76,76,146600,146900,9622,48578,63778,OK
66.485,TraderOne,Tick,199,284,-85,85,147300,146900,9490,48710,31710,OK
66.719,TraderOne,Tick,199,284,-85,85,147300,146900,9490,48710,31710,OK
67.0,TraderOne,Tick,207,284,-77,77,146500,146900,9373,49627,65027,OK
67.235,TraderOne,Tick,207,284,-77,77,146500,146900,9373,49627,65027,OK
67.469,TraderOne,Tick,207,284,-77,77,146500,146900,9373,49627,65027,OK
67.797,TraderOne,Tick,207,284,-77,77,146500,146900,9373,49627,65027,OK
67.985,TraderOne,Tick,207,284,-77,77,146500,146900,9373,49627,65027,OK
68.219,TraderOne,Tick,207,292,-85,77,146900,146900,9256,1224144,48944,OK
68.469,TraderOne,Tick,215,292,-77,77,146500,146900,9139,49861,65261,OK
68.813,TraderOne,Tick,215,292,-77,77,146500,147200,9139,49861,65261,OK
68.954,TraderOne,Tick,215,292,-77,77,146500,147200,9139,49861,65261,OK
69.297,TraderOne,Tick,215,300,-85,85,147500,147200,9021,49979,32979,OK
69.469,TraderOne,Tick,215,300,-85,85,147500,147200,9021,49979,32979,OK
69.797,TraderOne,Tick,215,300,-85,85,147500,147300,9021,49979,32979,OK
70.032,TraderOne,Tick,215,300,-85,85,147500,147300,9021,49979,32979,OK
70.297,TraderOne,Tick,215,300,-85,85,147500,147300,9021,49979,32979,OK
70.469,TraderOne,Tick,215,300,-85,85,147500,147300,9021,49979,32979,OK
70.719,TraderOne,Tick,224,300,-76,76,146500,147300,8889,51011,66211,OK
71.016,TraderOne,Tick,224,300,-76,76,146500,147300,8889,51011,66211,OK
71.219,TraderOne,Tick,224,300,-76,76,146500,147300,8889,51011,66211,OK
71.532,TraderOne,Tick,224,300,-76,76,146500,147300,8889,51011,66211,OK
71.75,TraderOne,Tick,224,300,-76,76,146500,147300,8889,51011,66211,OK
72.0,TraderOne,Tick,224,300,-76,76,146500,147300,8889,51011,66211,OK
72.297,TraderOne,Tick,224,300,-76,76,146500,147300,8889,51011,66211,OK
72.5,TraderOne,Tick,224,309,-85,85,147500,147300,8757,49343,32343,OK
72.813,TraderOne,Tick,224,309,-85,85,147500,147300,8757,49343,32343,OK
73.047,TraderOne,Tick,224,309,-85,85,147600,147300,8757,49343,32343,OK
73.297,TraderOne,Tick,224,309,-85,85,147600,147300,8757,49343,32343,OK
73.469,TraderOne,Tick,224,309,-85,85,147600,147200,8757,49343,32343,OK
73.75,TraderOne,Tick,224,309,-85,85,147600,147200,8757,49343,32343,OK
74.0,TraderOne,Tick,224,309,-85,85,147600,147200,8757,49343,32343,OK
74.297,TraderOne,Tick,224,309,-85,85,147600,147200,8757,49343,32343,OK
74.469,TraderOne,Tick,224,309,-85,85,147600,147200,8757,49343,32343,OK
74.719,TraderOne,Tick,224,309,-85,85,147600,147200,8757,49343,32343,OK
75.0,TraderOne,Tick,224,309,-85,85,147600,147200,8757,49343,32343,OK
75.297,TraderOne,Tick,224,309,-85,85,147600,147400,8757,49343,32343,OK
75.5,TraderOne,Tick,224,309,-85,85,147600,147400,8757,49343,32343,OK
75.719,TraderOne,Tick,224,309,-85,85,147600,147400,8757,49343,32343,OK
75.969,TraderOne,Tick,224,309,-85,85,147600,147400,8757,49343,32343,OK
76.219,TraderOne,Tick,224,309,-85,85,147600,147400,8757,49343,32343,OK
76.547,TraderOne,Tick,224,309,-85,85,147600,147500,8757,49343,40843,OK
76.797,TraderOne,Tick,224,309,-85,85,147600,147600,8757,49343,49343,OK
76.954,TraderOne,Tick,224,309,-85,85,147600,147600,8757,49343,49343,OK
77.282,TraderOne,Tick,224,309,-85,85,147600,147600,8757,49343,49343,OK
77.469,TraderOne,Tick,224,309,-85,85,147600,147600,8757,49343,49343,OK
77.813,TraderOne,Tick,224,309,-85,85,147500,147600,8757,49343,57843,OK
78.016,TraderOne,Tick,224,309,-85,85,147500,147600,8757,49343,57843,OK
78.204,TraderOne,Tick,224,309,-85,85,147500,147600,8757,49343,57843,OK
78.547,TraderOne,Tick,224,309,-85,85,147500,147600,8757,49343,57843,OK
78.829,TraderOne,Tick,224,309,-85,85,147500,147600,8757,49343,57843,OK
79.047,TraderOne,Tick,233,309,-76,76,147400,147600,9022,49978,65178,OK
79.266,TraderOne,Tick,234,309,-75,75,147400,147600,9051,50149,65149,OK
79.469,TraderOne,Tick,234,309,-75,75,147400,147600,9051,50149,65149,OK
79.75,TraderOne,Tick,242,309,-67,67,147600,148200,9287,51513,64913,OK
79.985,TraderOne,Tick,249,309,-60,60,147900,148400,9494,53406,65406,OK
80.25,TraderOne,Tick,255,309,-54,54,147900,148400,9671,55029,65829,OK
80.5,TraderOne,Tick,260,309,-49,49,147900,148400,9819,56881,66681,OK
80.75,TraderOne,Tick,265,309,-44,44,147900,148400,9967,58233,67033,OK
81.0,TraderOne,Tick,269,309,-40,40,147900,148400,10085,59715,67715,OK
81.219,TraderOne,Tick,273,309,-36,36,148000,148300,10204,60896,68096,OK
81.485,TraderOne,Tick,277,309,-32,32,148000,148400,10322,61178,67578,OK
81.75,TraderOne,Tick,280,309,-29,29,148100,148400,10411,62289,68089,OK
82.047,TraderOne,Tick,283,309,-26,26,148000,148400,10500,63400,68600,OK
82.266,TraderOne,Tick,286,309,-23,23,148100,148400,10589,64511,69111,OK
82.532,TraderOne,Tick,288,309,-21,21,148200,148800,10648,65452,69652,OK
82.813,TraderOne,Tick,290,309,-19,19,148300,148800,10707,66193,69993,OK
83.016,TraderOne,Tick,292,309,-17,17,148300,148800,10766,66734,70134,OK
83.266,TraderOne,Tick,294,309,-15,15,148400,148800,10826,67374,70374,OK
83.547,TraderOne,Tick,296,309,-13,13,148400,148800,10885,68115,70715,OK
83.797,TraderOne,Tick,297,309,-12,12,148400,148800,10915,68485,70885,OK
84.016,TraderOne,Tick,298,309,-11,11,148400,149000,10945,68855,71055,OK
84.266,TraderOne,Tick,299,309,-10,10,148500,149000,10975,69225,71225,OK
